title,summary,n_enrolled,course_type,institution,instructors,Level,subject,language,subtitles,course_hours,price
Italian Language and Culture: Beginner (2019-2020),"Learn the basics of the Italian language and culture through videos, podcasts, interviews, and much more.","55,293",Self-paced on your time,"The University of Maryland, College Park-University System of Maryland",John Johnson,Advanced,Engineering,English,English,12,15820.5
Steps in Japanese for Beginners1 Part1,Learn basic Japanese expressions to survive in Japanese.,"62,798",Self-paced on your time,Indian Institute of Management Bangalore,Ashok Thampy,Intermediate,Business & Management,English,"English, हिन्दी",25,11925
?To introduce yourself,,"50,540",Self-paced on your time,Harvard University,Shaye Cohen-Matthew Hass,Introductory,Humanities,English,English,40,7870.5
?To ask about food,,"47,184",Self-paced on your time,Universitat Politècnica de Valencia,Ignacio Despujol Zabala-Jaime Busquets Mataix,Advanced,Data Analysis & Statistics,Español,Español,32,5962.5
"?To order""",,"95,163",Self-paced on your time,The World Wide Web Consortium (W3C),Kasey Champion,Introductory,Computer Science,English,English,35,15820.5
How to Write an Essay,"An introduction to academic writing for English Language Learners, focusing on essay development, grammatical correctness, and self-editing.","19,905",Self-paced on your time,IsraelX-Tel Aviv University,Avishai Wool-Dan Gittik,Intermediate,Computer Science,English,"اللغة العربية, English, עברית",36,11845.5
Energy Within Environmental Constraints,A quantitative introduction to the energy system and its environmental impacts.,"55,937",Self-paced on your time,The University of Queensland,Terrance Fitzsimmons,Intermediate,Communication,English,English,100,7870.5
Meet the instructors and learn what the course is all about. Learn where you�re strongest and weakest, and if you have any commonly-held misconceptions. Week 2: Energy Overview,"1,22,977",Self-paced on your time,Curtin University,Sonia Dickinson,Intermediate,Communication,English,English,16,7870.5
Forms of energy and common units of measurement. How energy flows through modern and historical economies, including the composition of energy supply,"73,021",Self-paced on your time,University of Washington,Barbara Endicott-Popovsky,Introductory,Computer Science,English,English,30,15820.5
The quantitative techniques at the heart of the course: levelized cost and cost of mitigation. We�ll apply these techniques to energy systems and also to everyday life. Week 4: Environmental Impacts,,"17,526",Self-paced on your time,Tsinghua University,Fang Yang,Introductory,Language,English,English,32,3895.5
How severe are air pollution, climate change,"19,687",Self-paced on your time,Universidad Nacional de Córdoba,Claudia Martínez,Introductory,Business & Management,Español,"English, Español",35,9460.5
An abbreviated section focused on the abundance of fossil fuels. Spoiler alert: we won�t run out any time soon. Week 6: The Electric Grid,,"91,062",Self-paced on your time,University of Oxford,Paul Collier,Intermediate,Social Sciences,English,English,18,11845.5
A brief overview of modern electric grids including major technologies they use, how remarkably reliable and efficient they are,"31,354",Self-paced on your time,Doane University,"Amanda McKinney, MD, FACLM",Introductory,Biology & Life Sciences,English,English,80,6280.5
What solar power technologies dominate today and which have a chance to in the near future. How to estimate the cost of solar power in different regions, how it compares to other options,"48,899",Self-paced on your time,Harvard University,David Damrosch-Martin Puchner,Introductory,Literature,English,English,36,7870.5
How nuclear fission works and how it�s harnessed in modern nuclear plants. How much nuclear power costs and how much it�s used, including the stagnation in its use since the 1990�s and the prospects for its revival. Details on the hazards and costs of nuclear waste and power plant accidents. The connection between nuclear power and nuclear weapons. Week 9: Demand Reduction and Efficiency,"23,283",Self-paced on your time,Harvard University,Stephen Greenblatt,Introductory,Humanities,English,English,28,3895.5
Reducing energy demand, by changing behavior or making devices more efficient,"15,965",Self-paced on your time,Universidades Anáhuac,Psic. José Jesús Karam Espósitos,Introductory,Health & Safety,Español,Español,20,3895.5
"Wrap-up and review.Wrap-up and review.""",https://www.edx.org/course/energy-within-environmental-constraints,"66,764",Self-paced on your time,University of Toronto,Dilip Soman,Introductory,Business & Management,English,English,30,11050.5
Introduction to Probability,"Learn probability, an essential language and set of tools for understanding data, randomness, and uncertainty.","45,029",Self-paced on your time,The University of Michigan,Gautam Kaul,Introductory,Business & Management,English,English,36,3895.5
AnatomyX: Musculoskeletal Cases,Learn the anatomy basic to understanding five musculoskeletal injuries commonly seen in primary care medicine and orthopedic clinical specialty practice. Follow hypothetical patients from injury to operating room.,"12,227",Self-paced on your time,"University System of Maryland-The University of Maryland, College Park",James Green,Introductory,Business & Management,English,English,12,11845.5
Data Science: Inference and Modeling,"Learn inference and modeling, two of the most widely used statistical tools in data analysis.","79,424",Self-paced on your time,Massachusetts Institute of Technology,Otto Scharmer-Dayna Cunningham-Kelvy Bird-Arawana Hayashi,Introductory,Business & Management,English,"English, Español, Français, עברית, Indonesian, Italiano, 日本語, Português, Türkçe",84,7870.5
Strengthening Community Health Worker Programs,Learn to deliver high-quality primary health care at scale through national community health worker programs.,"56,171",Self-paced on your time,Delft University of Technology,Pavol Bauer-Margot Weijnen-Frank Rieck,Intermediate,Engineering,English,English,20,3975
Buddhism Through Its Scriptures,"Learn about the rich and diverse beliefs and practices of Buddhists across time and place. Experience Buddhism through its scriptures, both relationally as well as academically.","11,764",Self-paced on your time,IBM,Rav Ahuja,Introductory,Computer Science,Español,Español,8,3895.5
Introduction to Linux,Never learned Linux? Want a refresh? Develop a good working knowledge of Linux using both the graphical interface and command line across the major Linux distribution families.,"55,228",Instructor-led on a course schedule,Columbia University,Kamel Jedidi-Asim Ansari,Advanced,Business & Management,English,English,120,19795.5
"Bioethics: The Law, Medicine, and Ethics of Reproductive Technologies and Genetics",An introduction to the study of bioethics and the application of legal and ethical reasoning.,"20,634",Self-paced on your time,Universidad Autónoma de Madrid,Beatriz Rodríguez Vega-Carmen Bayón Pérez-Ángela Palao Tarrero-Ainoa Muñoz San José,Introductory,Health & Safety,Español,Español,24,3895.5
Identify the major technologies, terms,"56,446",Self-paced on your time,Rochester Institute of Technology,Lorraine Justice-Dan Harel,Intermediate,Business & Management,English,English,72,23770.5
Identify the major terms and concepts relevant to understanding surrogacy. Evaluate the degree to which surrogacy contracts should be legally enforceable. Discuss the legal reasoning behind real and hypothetical surrogacy cases. Lesson 3: Wrongful Life and Wrongful Birth,,"17,569",Self-paced on your time,Universitat Politècnica de Valencia,Prof. Ana Gimeno-Cristina Navarro,Introductory,Language,English,"English, Español",16,3975
Identify major terms and concepts including torts, damages,"11,346",Self-paced on your time,Universidad Nacional de Córdoba,Patricia Gil-Paola Campitelli-Laura Vargas-Leandro Carbelo,Introductory,Biology & Life Sciences,Español,Español,8,2305.5
Discuss when can a sperm donor be held to be the legal father of, or assert such fatherhood over,"31,352",Self-paced on your time,Universitat Politècnica de Valencia,María Valles-Planells-Elena de la Poza-Plaza-Naoko Ellis-Kas Hemmes,Intermediate,Architecture,English,English,16,3975
Identify and discuss key ethical debates related to anonymous sperm donation. Discuss the way various countries around the world do or do not permit anonymous sperm donation. Discuss the rights of donor-conceived children. Discuss obligations of anonymous sperm donors to support the resulting child. Lesson 6: Enhancement,,"47,676",Self-paced on your time,Inter-American Development Bank,Vanessa Sayos-Santiago Fretes-Allan Quijano,Intermediate,Business & Management,Español,Español,30,1987.5
Identify and evaluate different types of pre-birth and post-birth human enhancements. Discuss legal options available to regulate limit, or expand enhancements. Evaluate the difference between enhancing oneself versus choosing enhancements for another,"36,369",Self-paced on your time,The University of Michigan,Charles Severance,Introductory,Computer Science,English,English,28,3895.5
Identify and discuss seven different examples of human-animal hybrids and the moral and ethical ideas that suggest regulating, limiting,"17,039",Self-paced on your time,Massachusetts Institute of Technology,Andrew W. Lo-Harvey F. Lodish-Zied Ben Chaouch,Intermediate,Business & Management,English,English,192,3895.5
Shakespeare's Life and Work,"Learn how to read William Shakespeare's plays through his biography, Elizabethan and Jacobean history, and modern performance.","63,666",Self-paced on your time,Imperial College Business School-Imperial College London,Robert Kosowski,Introductory,Business & Management,English,English,24,6280.5
Marketing Digital: Content & Community Manager,"Aprende a crear estrategias de marketing de contenidos y domina Facebook, Instagram, YouTube, Twitter y m�s. Mide KPIs y obten resultados.","89,421",Self-paced on your time,Curtin University,Iain Murray AM-Joshua Gilchrist,Introductory,Computer Science,English,English,18,11845.5
Accounting and Finance,Develop financial acumen to manage your business successfully.,"11,481",Self-paced on your time,Curtin University,Ben Milbourn-Craig Thompson-Viktor Kacic-Sonya Girdler,Introductory,Health & Safety,English,English,18,11050.5
Introduction to financial accounting, Generally Accepted Accounting Principles,"10,937",Self-paced on your time,Stanford University,Jessica Ngo,Introductory,Medicine,English,English,16,3975
Reading and understanding balance sheet, income statement and cash flow statement Familiarizing all accounting terms that normally appear in financial statements Week 3: Financial Statement Analysis,"44,079",Self-paced on your time,Wageningen University & Research,Clara Belzer,Introductory,Health & Safety,English,English,30,3895.5
Ratio analysis, understanding relationship between four profitability drivers,"53,085",Self-paced on your time,Indian Institute of Management Bangalore,Shainesh G,Intermediate,Business & Management,English,"English, हिन्दी",30,3975
Preparation of Cost Sheet in manufacturing and service industry, Job and process costing,"65,430",Self-paced on your time,Harvard University,Ali Asani,Introductory,Humanities,English,English,40,7870.5
Behaviour of costs, Break-even analysis,"11,619",Self-paced on your time,The Georgia Institute of Technology,Jonathan Rogers,Introductory,Engineering,English,English,128,11845.5
Preparation of operational and financial budgets, Comparing actual performance against budgets,"57,710",Self-paced on your time,Indian Institute of Management Bangalore,MS Narasimhan,Intermediate,Business & Management,English,"English, हिन्दी",35,11925
Sources of finance, Angel funding,"46,400",Self-paced on your time,Dartmouth_IMTx-Dartmouth College-IMT,Petra Bonfert-Taylor-Rémi Sharrock,Introductory,Computer Science,English,English,28,3895.5
Preparing project cash flow statement, measuring cost of capital and evaluating projects (NPV,"65,564",Self-paced on your time,Inter-American Development Bank,Paula Alamán Herbera-Almudena Bonet Medina-Antonio Pita Lozano-Joaquín Melgarejo Ricca,Intermediate,Data Analysis & Statistics,Español,Español,50,1987.5
Working capital cycle, managing inventory,"2,15,705",Self-paced on your time,Catalyst,Deepali Bagati-​Krista Brookman-Emily Troiano,Introductory,Communication,English,English,8,3895.5
"Ten important things that you need to remember in Finance.""",https://www.edx.org/course/accounting-and-finance,"50,847",Self-paced on your time,"University of California, Berkeley",Maggie Sokolik,Intermediate,Communication,English,English,20,11050.5
Computing in Python I: Fundamentals and Procedural Programming,"Learn the fundamentals of computing in Python, including variables, operators, and writing and debugging your own programs.","16,134",Self-paced on your time,New York University,Rafail Portnoy-Aspen Olmsted,Introductory,Computer Science,English,English,35,11925
"Nutrition, Exercise and Sports","Learn about Nutrition, Exercise and Sports and understand how nutrition can support exercise and sports performance.","58,463",Self-paced on your time,Imperial College Business School-Imperial College London,Jeremy Fernando,Introductory,Business & Management,English,English,30,6280.5
Then this online course is for you! Nutrition is crucial to live an active and healthy life, to support training,"3,25,554",Self-paced on your time,Universidad Carlos III de Madrid,Carlos Delgado Kloos-Carmen Fernández Panadero-Iria Estévez-Ayres-Jorge Blasco,Introductory,Computer Science,English,"English, Español, Português, 中文",50,11845.5
This course also touches upon how the lessons learned from nutrition and sports research can be applied during ageing. For example, what are the benefits of extra protein in vulnerable age groups? Be aware that thiscourse will not tell you exactly what to eat. Instead,"60,734",Self-paced on your time,Universidad Carlos III de Madrid,Alejandro Vergara,Introductory,Humanities,English,English,21,7870.5
Becoming an Entrepreneur,"Learn the business skills and startup mindset needed to embark on your entrepreneurial path from the premier program for aspiring entrepreneurs, MIT Launch.","12,042",Self-paced on your time,Universidad Galileo,Jorge Vargas-Victor Orozco,Intermediate,Engineering,English,English,50,3895.5
"Religion, Conflict and Peace",Explore the diverse and complex roles that religions play in both promoting and mitigating violence.,"50,033",Self-paced on your time,University of Pennsylvania,Peter Decherney,Introductory,Communication,English,English,16,13435.5
"Tangible Things: Discovering History Through Artworks, Artifacts, Scientific Specimens, and the Stuff Around You","Gain an understanding of history, museum studies, and curation by looking at, organizing, and interpreting art, artifacts, scientific curiosities, and the stuff of everyday life.","15,627",Self-paced on your time,IBM,Romeo Kienzler-Svetlana Levitan-Maureen McElaney,Introductory,Data Analysis & Statistics,English,English,49,3100.5
Academic and Business Writing,"An introduction to academic and business writing for English Language Learners, focusing on grammar, vocabulary, structure, editing, and publication.","1,98,861",Self-paced on your time,Columbia University,Andrew Gelman-David Madigan-Lauren Hannah-Eva Ascarza,Introductory,Computer Science,English,English,50,7870.5
Data Science: Capstone,Show what you've learned from the Professional Certificate Program in Data Science.,"97,175",Self-paced on your time,The University of Queensland,Professor Deborah Brown-Dr Peter Ellerton,Introductory,Humanities,English,English,24,7870.5
Basics of Computing and Programming,This is a self-paced course from NYU that provides an Introduction to Computing and Programming,"91,868",Self-paced on your time,Université catholique de Louvain,Pierre d’Argent,Advanced,Law,English,English,96,11925
"Fundamentals of Neuroscience, Part 2: Neurons and Networks",Discover how neurons work together to create complex networks inside the brain.,"38,503",Self-paced on your time,The University of Queensland,Sara Dolnicar-Sally Driml-Sheranne Fairley-Karen Hughes,Introductory,Business & Management,English,English,21,397.5
Lesson1: The Synapse,,"1,20,019",Self-paced on your time,Rochester Institute of Technology,Leonie Fernandes,Intermediate,Business & Management,English,English,120,11925
The junctions between neurons, called synapses,"1,25,069",Self-paced on your time,Delft University of Technology,Arno Smets,Introductory,Engineering,English,English,64,3975
Synapses can be grouped into two categories: synapses that increase the activity of the postsynaptic neuron are called excitatory synapses, while those that decrease its activity are called inhibitory synapses. In lesson 2 �Excitation & Inhibition,"10,129",Self-paced on your time,Rochester Institute of Technology,Keith B. Jenkins,Introductory,Communication,English,English,18,15820.5
Neurons combine information from many synapses at once in a process known as synaptic integration. In lesson 3 �Small Circuits,� we explore how a neuron integrates information from multiple synapses over time to allow complex signaling. Lesson 4: Neuromodulation,"62,757",Self-paced on your time,Waseda University,Takako Toda,Introductory,Communication,日本語,"English, 日本語, 한국어, 中文",25,7870.5
How many components are there in a synapse? You may think that the answer is simple: two, the presynaptic and the postsynaptic terminals. In lesson 4 �Neuromodulation,"33,414",Self-paced on your time,"University of California, Berkeley",Dacher Keltner-Emiliana Simon-Thomas,Introductory,Business & Management,English,English,8,15820.5
Successful Negotiation: Essential Strategies and Skills,Build negotiation skills and learn how to use and apply negotiation strategies to your life with the University of Michigan.,"49,351",Self-paced on your time,Delft University of Technology,Hans de Bruijn-Jet Pagnier,Intermediate,Business & Management,English,English,25,9937.5
Data Science: Linear Regression,"Learn how to use R to implement linear regression, one of the most common statistical modeling approaches in data science.","55,154",Self-paced on your time,University of British Columbia,Elicia Salzberg,Introductory,Business & Management,English,English,30,11925
HTML5 and CSS Fundamentals,"Learn how to build Web sites using HTML5 and basic CSS, directly from W3C, creator of the latest Web standards.","78,704",Self-paced on your time,Kyoto University,Motonari Uesugi,Introductory,Biology & Life Sciences,English,English,39,3895.5
#NAME?, CSS and JavaScript ,"78,266",Self-paced on your time,Wageningen University & Research,Sander Kersten-Alida Melse-Inge Brouwer-Guido Hooiveld,Intermediate,Biology & Life Sciences,English,English,56,7870.5
#NAME?, tags and attributes ,"12,339",Self-paced on your time,The Hong Kong University of Science and Technology,Ravindra Goonetilleke-Sai-Kit Yeung,Introductory,Design,English,English,30,3975
#NAME?,,"1,40,419",Self-paced on your time,Columbia University,Ansaf Salleb-Aouissi-Cliff Stein-David Blei-Itsik Peer,Introductory,Computer Science,English,English,50,7870.5
- Best practicesModule 2: Attributes, images and links ,"3,18,399",Self-paced on your time,The University of Queensland,Emma MacKenzie-Jason Tangen-Matthew Thompson,Introductory,Business & Management,English,English,36,7870.5
#NAME?,,"41,663",Self-paced on your time,Inter-American Development Bank,Gentile Senat-Vanessa Sayos del Castillo-Ernesto Mondelo,Intermediate,Business & Management,Français,Français,40,1987.5
#NAME?,,"11,913",Self-paced on your time,"The University of Maryland, College Park-University System of Maryland",James Green,Introductory,Business & Management,English,English,12,15820.5
#NAME?,,"74,424",Self-paced on your time,Université catholique de Louvain,Olivier De Schutter,Advanced,Law,English,English,96,11925
#NAME?,,"23,139",Self-paced on your time,SDG Academy,Hirokazu Yoshikawa-Jack Shonkoff-Aisha Yousafzai-Catherine Tamis-LeMonda,Intermediate,Education & Teacher Training,English,"اللغة العربية, English, Español, हिन्दी, Português",32,3895.5
Module 3: Adding style with CSS ,,"21,809",Self-paced on your time,IBM,Sourav Mazumder-Linda Liu-Alex Aklson,Intermediate,Data Analysis & Statistics,English,English,24,7870.5
#NAME?,,"11,113",Self-paced on your time,The National University of Singapore,Clayton Miller,Introductory,Data Analysis & Statistics,English,English,42,15820.5
#NAME?,,"24,986",Self-paced on your time,Wageningen University & Research,Marianne Geleijnse-Leanne Küpers-Dr. Marco Mensink,Intermediate,Food & Nutrition,English,English,40,7870.5
- Lists and selectorsModule 4: Fixing and debugging ,,"62,099",Self-paced on your time,Inter-American Development Bank,Claudia Baca-Ernesto Mondelo,Intermediate,Business & Management,English,English,40,3895.5
#NAME?,,"86,923",Self-paced on your time,The Linux Foundation,Chris Pokorni-Chip Childers-Neependra Khare,Introductory,Computer Science,English,English,56,13435.5
#NAME?,,"13,566",Self-paced on your time,Wageningen University & Research,Prof.dr.ir. Louise O. Fresco-Dr. Kim Poldner-Dr. Nishant Shah-Paulien Harmsen MSc,Introductory,Art & Culture,English,English,30,5167.5
- Debugging CSS precedenceModule 5: More HTML5 and CSS ,,"1,50,855",Instructor-led on a course schedule,Columbia University,John W. Paisley,Advanced,Computer Science,English,English,120,19795.5
#NAME?,,"98,517",Self-paced on your time,Universitat Politècnica de Valencia,Alberto Palomares Chust,Introductory,Business & Management,Español,Español,25,3975
#NAME?,,"36,085",Self-paced on your time,Columbia University,Daniel Wolfenzon,Introductory,Business & Management,English,English,20,17887.5
#NAME?,,"55,926",Self-paced on your time,Technische Universität München,Martin Grunow-Holly Ott,Introductory,Business & Management,English,English,24,7870.5
- CSS tricksModule 6: Basics of page layout ,,"1,31,197",Self-paced on your time,SchoolYourself,Zach Wissner-Gross-John Lee-Vivek Venkatachalam-Kenny Peng,Introductory,Math,English,English,24,11050.5
#NAME?,,"11,823",Self-paced on your time,IITBombay,Deepak B. Phatak-Firuza Karmali (Aibara)-Nagesh Karmali,Introductory,Engineering,English,English,28,11050.5
#NAME?,,"1,07,770",Self-paced on your time,Catalyst,Dnika J. Travis-Alixandra Pollack-Jeff Barth,Introductory,Communication,English,English,8,3975
"- Recipe project""",https://www.edx.org/course/html5-and-css-fundamentals,"51,969",Self-paced on your time,The University of Michigan,Kathleen Alsup,Introductory,Biology & Life Sciences,English,English,12,3895.5
Data Science:�Productivity Tools,"Keep your projects organized and produce reproducible reports using GitHub, git, Unix/Linux, and RStudio.","10,897",Instructor-led on a course schedule,Universidades Anáhuac,Judith Margarete Towle Wachenheim-Isabel Rosado Richard-Jorge Ernesto Peniche Rosales-David John Phillips,Introductory,Business & Management,English,"English, Español",32,3895.5
Introduction to Corporate Finance,"Learn key financial concepts for evaluating and valuing investment opportunities, including how to value stocks and bonds.","26,675",Self-paced on your time,The Wharton School of the University of Pennsylvania,Nicolaj Siggelkow,Intermediate,Business & Management,English,English,24,15820.5
Week 2: Net Present Value & The Internal Rate of Return Rule,,"14,726",Self-paced on your time,Universidades Anáhuac,Psic. Vanessa Arrigunaga Chico-Laura Villarreal González,Introductory,Social Sciences,Español,Español,20,3895.5
Week 3: Capital Budgeting,,"27,757",Self-paced on your time,Universidad Autónoma de Madrid,Ruth Cobos Pérez-Álvaro Ortigosa-Roberto Latorre Camino,Introductory,Computer Science,Español,Español,25,3895.5
"Week 4: Valuation of Bonds and Stocks""",https://www.edx.org/course/introduction-to-corporate-finance,"56,016",Self-paced on your time,Technische Universität München,Martin Grunow-Holly Ott,Introductory,Business & Management,English,English,32,7870.5
Computer Science 101,Introduction to Computer Science for a zero-prior-experience audience. Play with little phrases of code to understand what computers are all about.,"18,830",Self-paced on your time,Universidades Anáhuac,Pped. Silvia Josefina Axle Echanove-Psic. Alejandro González Novelo-M.C. Jorge Carlos Hevia Orozco,Introductory,Social Sciences,Español,Español,20,3895.5
Data Science: Wrangling,Learn to process and convert raw data into formats needed for analysis.,"53,664",Self-paced on your time,Massachusetts Institute of Technology,Jonathan Gruber,Introductory,Economics & Finance,English,English,48,3895.5
A Hands-on Introduction to Engineering Simulations,Learn how to analyze real-world engineering problems using ANSYS simulation software and gain important professional skills sought by employers.,"21,535",Self-paced on your time,University of Hong Kong,Kwok Wing Chow-Kai Man Tsang,Introductory,Math,English,English,36,3975
AI for Everyone: Master the Basics,"Learn what Artificial Intelligence (AI) is by understanding its applications and key concepts including machine learning, deep learning and neural networks.","88,570",Self-paced on your time,The University of Texas at Austin,Maggie Myers-Robert van de Geijn,Intermediate,Computer Science,English,English,150,3895.5
The Psychology of Criminal Justice,Learn how behavioural science can improve our criminal justice system.,"19,614",Self-paced on your time,Tecnológico de Monterrey,Daniel Meade Monteverde-Luz María Vargas Reguer,Introductory,Business & Management,Español,Español,32,11845.5
A murder has been committed. In this episode, find out about criminal profiling and how this might be used in investigating the crime. EPISODE 2: INTERVIEWING THE WITNESSES,"8,862",Self-paced on your time,Tecnológico de Monterrey,Carlos Alberto Tena Sánchez,Intermediate,Business & Management,English,English,32,11845.5
How reliable are eyewitnesses, and how can their memory of the crime be distorted? Learn about the encoding,"40,972",Self-paced on your time,Delft University of Technology,Pavol Bauer-Auke Hoekstra-Gautham Ram-Marnix Wagemaker,Intermediate,Engineering,English,English,20,3975
Photofits and line-ups are commonly used during crime investigations, and in this episode you will learn about how biases related to these can be recognized and reduced. EPISODE 4: QUESTIONING THE SUSPECT,"12,948",Self-paced on your time,Massachusetts Institute of Technology,Gary Hack-Mary Anne Ocampo,Intermediate,Design,English,English,60,7870.5
How reliable are confessions? Can you identify when someone is lying? In this episode the investigators question the suspect and try to work out who is the guilty party. EPISODE 5: GETTING READY FOR TRIAL,,"69,358",Self-paced on your time,The International Monetary Fund,Adolfo Barajas-Adina Popescu-Sam Ouliaris-Reda Cherif,Intermediate,Economics & Finance,English,English,90,1987.5
The investigators think they have identified the murderer. Who decides whether someone is found guilty or not guilty? Does jury selection work? What part might media coverage play in how the case trial progresses? EPISODE 6: THE TRIAL (PART 1),,"49,189",Self-paced on your time,Inter-American Development Bank,Pedro Farias-Mariano Lafuente-Miguel Porrúa-Carlos Pimenta,Introductory,Economics & Finance,Español,"Español, Español",40,1987.5
The jury has been selected and the trial commences. In this episode the evidence is presented and we hear about expert evidence and its reliability. EPISODE 7: THE TRIAL (PART 2),,"53,788",Self-paced on your time,Red Hat,Ricardo da Costa,Introductory,Computer Science,English,English,27,7870.5
The jury need to make a decision on the case. You will learn about judicial instructions and how juries deliberate. EPISODE 8: EPILOGUE,,"61,722",Self-paced on your time,IITBombay,Deepak B. Phatak-Nagesh Karmali-Ajit Diwan-Ganesh Ramakrishnan,Intermediate,Computer Science,English,English,48,11845.5
"Did the investigators get the right person? Find out how it all ends in this final episode.""",https://www.edx.org/course/the-psychology-of-criminal-justice,"54,976",Self-paced on your time,Harvard University,John Wesley Cain-Juliana Belding-Peter M. Garfield,Intermediate,Math,English,English,60,7870.5
Machine Learning with Python: A Practical Introduction,Machine Learning can be an incredibly beneficial tool to uncover hidden insights and predict future trends. This Machine Learning with Python course will give you all the tools you need to get started with supervised and unsupervised learning.,"55,576",Self-paced on your time,Arizona State University,Adrian Sannier-Sue McClure,Intermediate,Math,English,English,150,3895.5
Applications of Machine Learning,,"12,133",Instructor-led on a course schedule,Universidad del Rosario,Felipe González-Ricardo Miguel Luque Bernal,Introductory,Medicine,Español,Español,24,3895.5
Supervised vs Unsupervised Learning,,"60,713",Self-paced on your time,University of British Columbia,Marlisse Silver Sweeney,Introductory,Business & Management,English,English,30,11925
Python libraries suitable for Machine Learning Module 2 - Regression,,"35,058",Self-paced on your time,Wellesley College,Daniela Bartalesi-Graf,Intermediate,Language,Italiano,Italiano,60,3895.5
Linear Regression,,"9,796",Self-paced on your time,Stanford University,Anne Firth Murray,Introductory,Social Sciences,English,English,50,3975
Non-linear Regression,,"66,769",Self-paced on your time,The Linux Foundation,Ernesto Lee-Kris Bennett-Rosa Santos,Introductory,Business & Management,English,English,42,15820.5
Model evaluation methods Module 3 - Classification,,"22,366",Self-paced on your time,Imperial College London,Philip Ramsden-Phil Chaffe,Intermediate,Math,English,English,28,3895.5
K-Nearest Neighbour,,"55,376",Self-paced on your time,"University of California, Berkeley",Rustie Lin-Nadir Akhtar,Intermediate,Computer Science,English,English,30,7870.5
Decision Trees,,"8,314",Self-paced on your time,Rolls-Royce,James Hallam,Introductory,Data Analysis & Statistics,English,English,10,3895.5
Logistic Regression,,"34,337",Self-paced on your time,University of Washington,Joel Ozretich-Richard Moore,Introductory,Language,English,English,30,11845.5
Support Vector Machines,,"36,665",Self-paced on your time,MandarinX,Estella Chen,Introductory,Language,English,English,50,7870.5
Model Evaluation Module 4 - Unsupervised Learning,,"84,270",Self-paced on your time,Amnesty International,Amnesty International,Introductory,Humanities,English,English,15,3895.5
K-Means Clustering,,"11,046",Self-paced on your time,Wits University,Ariane Janse van Rensburg-Mawabo Msingaphantsi-Ludwig Hansen-Johan N Prinsloo,Introductory,Architecture,English,English,9,3895.5
Hierarchical Clustering,,"22,723",Self-paced on your time,Harvard University,Thomas E. Patterson,Introductory,Social Sciences,English,English,16,3895.5
Density-Based Clustering Module 5 - Recommender Systems,,"8,146",Self-paced on your time,Tecnológico de Monterrey,Luz María Vargas Reguer-Daniel Meade Monteverde,Intermediate,Business & Management,English,English,32,11845.5
Content-based recommender systems,,"15,650",Self-paced on your time,"University of California, Berkeley",Maggie Sokolik,Introductory,Humanities,English,English,35,3895.5
"Collaborative Filtering""",https://www.edx.org/course/machine-learning-with-python-a-practical-introduct,"28,710",Self-paced on your time,IsraelX-Tel Aviv University,Jonathan Gershoni,Introductory,Medicine,English,English,21,11845.5
Analyzing Data with Python,"In this course, you will learn how to analyze data in Python using multi-dimensional arrays in numpy, manipulate DataFrames in pandas, use SciPy library of mathematical routines, and perform machine learning using scikit-learn!","17,554",Self-paced on your time,Inter-American Development Bank,Bernardo Guillamón-Matías Bendersky-María Cortés Puch-Guido Schmidt-Traub,Introductory,Social Sciences,Español,English,40,1987.5
Excel: gesti�n de datos,"En este curso profundizar�s en las t�cnicas y herramientas para el tratamiento, manejo y an�lisis de datos que puedes utilizar en Microsoft Excel para la toma de decisiones.","13,954",Self-paced on your time,The Hong Kong Polytechnic University,Tanya Dove-Kristina Shin-Jalice Cheng-Marco Rebora,Introductory,Design,English,English,25,7870.5
Probability - The Science of Uncertainty and Data,"Build foundational knowledge of data science with this introduction to probabilistic models, including random processes and the basic elements of statistical inference -- Part of the MITx MicroMasters program in Statistics and Data Science.","7,958",Self-paced on your time,edX,Nina Huntemann-Robyn Belair-Ben Piscopo-Marina Pastor,Introductory,Education & Teacher Training,Español,"English, Español",6,3895.5
"Fundamentals of Neuroscience, Part 3: The Brain",Discover what makes your brain tick in this third course in our introductory series in neuroscience.,"31,511",Self-paced on your time,The Georgia Institute of Technology,David Joyner,Introductory,Computer Science,English,English,50,7870.5
One of the most developed senses in humans is our vision. In lesson 1, �Vision,"29,614",Self-paced on your time,Universidad Galileo,Jojo Giuffra-Miguel Morales-Rocael Hernández,Introductory,Communication,Español,Español,20,3895.5
One of the many ways we communicate with one another and create community is through sound. In lesson 2, �Audition,"82,008",Self-paced on your time,"The University of California, San Diego",Sanjoy Dasgupta,Advanced,Data Analysis & Statistics,English,English,100,27825
There are more than just five senses in the animal kingdom. Consider eels with their ability to sense electric fields or vampire bats that can track down prey via infrared detection. In lesson 3, �Touch,"1,03,224",Self-paced on your time,Delft University of Technology,Bart van den Dries-Roelof Koekoek-Wolter Groenevelt-Fokko van de Bult,Introductory,Math,English,English,64,3975
Perceiving the world is useless if we cannot act. The motor subsystems of the brain execute and coordinate our movement. In lesson 4, �Movement and Action,"58,834",Self-paced on your time,Tsinghua University,Xia Ding-Xiaoning Wang-Li Lu-Yuan Li,Introductory,Language,English,English,18,3895.5
